lag,gage_id,gage_name,n_obs,n_wells,slope,r2,p,mi
No Lag,10126000,Bear River,22783,99,5.5068315927177585,0.0017220552090343308,3.703759942706768e-10,0.03532728841142617
No Lag,10141000,Weber River,18174,106,0.0626298978636535,0.0001874355842170685,0.06494772408380088,0.0902287446961178
No Lag,10163000,Provo River,10314,47,-0.13549086954433154,0.00010133881672122046,0.306659559912469,0.06916198666224617
No Lag,10168000,Little Cottonwood,2479,16,0.1007426221500332,0.0011608365083446207,0.08988221686059385,0.11150605224660873
3 Month,10126000,Bear River,16415,98,8.23821975520566,0.00428377827523864,4.700433575616384e-17,0.043334712299328226
3 Month,10141000,Weber River,12059,106,0.2502632946472113,0.002915208006707922,2.977472654165108e-09,0.08838042641760227
3 Month,10163000,Provo River,8531,47,0.39733257497711144,0.0009409554558347927,0.00460414520825476,0.0884837853049896
3 Month,10168000,Little Cottonwood,2189,16,-0.09253109736820994,0.0009962282623162092,0.13987453082153076,0.11372310357910215
6 Month,10126000,Bear River,15765,98,10.057399063669049,0.005671135041782445,2.848665669854812e-21,0.04204717160953171
6 Month,10141000,Weber River,11399,106,0.2931134002886773,0.004520098265881418,6.700721735919395e-13,0.10377733208120085
6 Month,10163000,Provo River,8462,46,0.9337633272795299,0.0050757008386724005,5.343414966702289e-11,0.0814736365226422
6 Month,10168000,Little Cottonwood,2148,16,0.15782811386838683,0.0026986718253459024,0.016045987895797878,0.12504173307951627
1 Year,10126000,Bear River,16805,98,5.255922987750571,0.001655860179985743,1.3138904286599863e-07,0.038238243377969106
1 Year,10141000,Weber River,13737,106,0.056269713789782405,0.00016369878000278943,0.13374356328376497,0.08890021555701369
1 Year,10163000,Provo River,8482,47,-0.44823081297605144,0.0011273406719185962,0.001983570285500314,0.06889811877152342
1 Year,10168000,Little Cottonwood,2157,16,0.06178006502310969,0.0004521118903816012,0.32361125867584795,0.11970000319676476
5 Year,10126000,Bear River,11513,93,6.5782819447262675,0.0024452249438501788,1.1052781330092724e-07,0.04396604659841768
5 Year,10141000,Weber River,9585,99,-0.022279101682831967,2.178458465061096e-05,0.647746505820026,0.11048034666837668
5 Year,10163000,Provo River,6889,39,-0.296044839783947,0.0004129068827473127,0.09171161904758181,0.10905595533928764
5 Year,10168000,Little Cottonwood,1486,11,-0.15702779909133452,0.003225297990584819,0.02858452429429499,0.16122835871837346
